review,actual_sentiment,language
"Amazon reported fourth-quarter revenue in line with Wall Street expectations and announced a $20-a-year increase in Prime subscription prices, causing its stock to stage a big rally after hours. Shares in the tech giant jumped as much as 18% in the minutes after the earnings news, after they had declined markedly earlier in the day....",positive,en
"I ordered some birth announcement cards for my son, was really pleased with how they turned out everybody said how nice they were. Great discount for first order as well",positive,en
"Any review depends what you pay for a room – obviously if you pay $400 a night you are going to expect something different than a room in another hotel that goes for $200. This hotel is in the former category so the expectations are higher. This is also one of those hotels that if you are lucky enough to get a suite or a certain room you will enjoy it. Saying that, at our recent stay during the second weekend of August, we were not one of those lucky people. We got a room ending in “03”.
We asked for one king bed and got two doubles. The room could not (or perhaps would not) be changed as there was a convention there that weekend. The room itself was small and crowded with furniture. The bathroom was very small. You could literally sit on the toilet, turn your head and tear off the toilet paper with your teeth. The door to the bathroom cleared the toilet by ¼ inch. One reason we stayed at this hotel was because all room were to have a mini-refrigerator where we could put our sodas, waters and left over snacks for middle of the night cravings. Well, it does but the “mini-frig” is actually the in-room bar so it is already filled with the hotel’s sodas, liquors and candy. We did not want to move anything for fear of being charged when the bar inspector came by and found it missing. We were able to put in two small bottles of water only with great difficulty. I thought this was a cheat. The room itself is typical dull décor and as stated earlier, overcrowded with furniture. The coffeemaker was in a very awkward position (sideways) and you could not move it because of the plug/outlet. You could not fill it with water all the way because of the strange location/angle.
Housekeeping was great in our case – we had one of the absolutely best ladies cleaning and she was usually in and out of there by noon.
The food and drinks at the hotel are very expensive. A chicken Caesar salad had at the bar totaled (with all applicable taxes) $29.00. However, the bartenders were again some of the very best in New York City.
I travel to New York quite often and indeed I am a member of this hotel’s “Priority Club” but I would not stay there again. It is simply not worth the money. While in a very convenient location, there are a number of other hotels in the same 3-4 block radius.",positive,en
"I really don't understand why some people are complaining about this hotel! This hotel was wonderful! Some friend and I went here for the GA/FL football weekend and it was perfect for our situation. They were prepared for the event and had it decorated for both teams. :) I was honestly worried after reading some of these reviews before I went and I was pleasantly surprised! The hotel looks EXACTLY like the pictures (which is often not the case)! It was very clean, not smelly, the staff was great, and the continental breakfast had a huge selection! The only problem was the location. It was close to things, but you had to get on the highway again to get to the nearest food or fuel. Altogether, I would definitely recommend this hotel to someone else and would stay here over and over again if I had to!
Oh and its like 15 minutes from the beaches and maybe 7 miles from downtown Jacksonville...great place to be in between both places!",positive,en
"What a beauty! I had stayed there over 20 years ago so I was really excited to go back and see it again.
Has a suite. It was superb. Roomy, great view.The staff truly helpful.
One of the beast locations in Boston.
I would love to go again!",positive,en
"As soon as I walked into this place, my mouth began to water. The aroma in here just cant be beat.\n\nI ordered the special - 1 16\"" pizza with 2 toppings and 30 wings. Pizza toppings were Mushrooms and Onions. I lamented this topping combo, but it was what my girlfriend wanted. I got the wings hot, also ordered the Calzone sampler to try it out.\n\nWhen I opened the wing box, the steam that rose from the box made my eyes and nose water. It smelled so good I had to eat one right there at the counter. One of the owners told me that the wings are even better if you eat them in house. The next time I am in the area, I will try it out.\n\nI took the pizza home and cracked open the box. The mushrooms were thick, and the onions appeared at though they were cut by hand. The sauce was rich, and the crust was perfect.\n\nThe calzones were great as well, smothered in marinara sauce.\n\nThe price was great, the people were friendly. The lunch special can't be beat. (2 slices of pizza and a free soda, 50 cent refills)\n\nNegotiate the construction outside, find yourself a parking spot and get this pizza. My only regret was that I had to share it. Next time - its all mine.",positive,en
"great selection of songs, easy to use, reasonable price, great interactions with users - I don't even use it as much as I should and I love it!",positive,en
"Nothing, just perfect",positive,en
"The muted status updates feature needs to be better. What's the point if one can scroll down and view unwanted status updates. As far as I can recall, in one of the previous WhatsApp updates this problem had been resolved. Why is it not like that still??",positive,en
"Provides information from basic laws of inheritance to understanding the field of Evolutionary biology and genome sequencing. Explained in a light and easy to understand way! Not a course you can pass by knowing a few facts about the subjects. Tricky at times, which help you find out if you understood everything correctly. Would recommend to others!",positive,en
"Ease of handling
With the grab handle, the bowl is really helpful when microwaving",positive,en
"Since updating our phones, Spotify has become my go-to music app. I have a library of music that covers a wide range of interests. We use it all the time in my car and while at work.",positive,en
"picked this on a whim because it was cheap, glad I did, and excellent array of stories and ideas, can't wait until my next splurge when I can pick up the rest",positive,en
"The place could use a bit of freshening up, furnishings shabby in some rooms and spotty carpet. Overall the staff was friendly and helpful but calls for extra items are left on a voice mail and not acted on. Convenient short walk to T",positive,en
"Worked well out of the packaging!
Almost doubled the speed of my computer.",positive,en
"I luckily found this place when I googled, \""Things to do in vegas.\"" Afterall, I'm really sick of doing generic activities in las vegas. Boozing and clubbing gets really old, and definitely not as interesting to do on a bday (at least for me). \n Since i wanted to do something fun, cool, that I had never done before on my birthday, I opted for playing in a so-called huge sandbox. Originally, I thought I was going to break, demolish and feel like Godzilla by being the mastermind behind the massive machinery. I was soon disappointed for a slight second when I found out I wasn't going to pick things up (was hoping a car...just kidding) and throwing it somewhere a couple feet away and smashing it. Oh wait, I'm not kidding about the car. \n Instead, I got to re-arrange tires, pick up a basketball and put it in a tire hole, and get to dig some deep holes. It was challenging and fun at the same time. If the DIG IT people are reading this, maybe the car idea isn't so bad after all. \n\n The owner was personable and friendly. The instructors were funny, patient, and an absolute delight to work with. Not only were they informative, but they were real pros that helped me get through the entire activity. I had an AWESOME time. \n I think the only disadvantage is the price. Luckily, I found a groupon to cut down costs, and it allowed both of us to share the experience together. I believe it usually costs about $220/pp for 1.5 hours. Not cheap, my friends. \n\n Given the choice between the EXCAVATOR and BULLDOZER, STICK WITH THE EXCAVATOR. Cuz you get to play with BALLS. HAHHAHAHAHHA...okay, okay, that too, and it's also much bigger than the bulldozer. Sometimes, size matters, and bigger is better. Even my bf (who did the bulldozer) said he wants to go back and try the excavator. As for me, once you go big, you can't go back...",positive,en
"The Red Velvette Waffle is on the \""Secret Menu\"" so you have to ask for it. It is definitely worth is. Really rich but oh so delicious.",positive,en
"Seats were excellent. Spacious width and depth. Pick bulkhead seats if you prefer a roomy legroom space. Meals and services are excellent. Never miss out a chance to ask for a wine pairing recommendation. You will be amazed at the suggestions.
Also, you can actually be a glutton and ask for more desserts. Just saying. :)",positive,en
"Excellent music app, I enjoy it tons! It is possible to listen many artists and their best songs. Highly recommend it, for me the best music app experience.",positive,en
"easy to use, adjustable, light weight
Extremely easy to use, good visibility. I like the extra battery supply.",positive,en
"The staff were so helpful, no request was too large or small. The beds were very comfortable, the room was bright and clean, the bathroom was spacious and lovely. It was great to have full kitchen facilities - even a dishwasher! We enjoyed the hot breakfast every day. We would stay again in a heart-beat, and have recommended it to several friends. We liked being able to walk to the theatres and shopping areas. The Staybridge is a veritable GEM in Times Square!",positive,en
"10/10PLOT DISCUSSIONThis is one of the best movies ever made and I am not saying that because I am being fooled by the seemingly nonsensical presentation. Those who dislike the film because they don't understand the story often criticize those who are praising the film by saying that they are assuming its genius because they don't understand it. I don't view this movie as very allegorical. To me, it is a story with a beginning, middle and end. People become confused by the film because they expect it to have a deep, philosophical meaning that they are to interpret from the allegedly meaningless scenes. I feel they fail to realize that the crypticness comes from a chopped-up and rearranged plot combined with a very long and rather explanatory fantasy sequence and not from a chaos of visual allegory. Because of the limitation of length, I will try to keep this short and to the point and touch on the major concepts.The general plot: Diane moves to L.A. after jitterbug contest to get into acting. At an audition, she meets Camilla with whom she falls in love. Diane becomes enraged with jealousy since Camilla sleeps with other men and women. Diane discovers the other man (the director) at a film shoot and discovers the other woman (a random blond) at the engagement party for Camilla and the director. Motivated by her rage and possessiveness, Diane hires a hit man to kill Camilla. After that is done, she is overcome by loneliness and slips into an unconscious fantasy world where she lives the life she wants to. Diane is then awakened. In her conscious state she is haunted by what she has done.The significance of the fantasy: The film starts out, after the credits, with a 1st person p.o.v. shot depicting somebody collapsing onto a bed and slipping into unconsciousness. This is where Diane's fantasy starts. The accident is there as an excuse for her to ""bring back"" her dead girlfriend and justify the fantasy life. She depicts her girlfriend as meek and innocent because that is what she wished she was. In the meantime, she acts like everything is ""like in the movies"" because she has an escapist personality. She also, in a sense, kills herself off and assumes the identity of a waitress named Betty at a diner. The story revolving around the director is a direct result of her feeling that he was in someway victimized in reality just as she was and ""convinces"" herself that he was forced to choose Camilla. It was also an unconscious expression of the lack of control she felt during the party. Camilla Rhoades in the fantasy is actually the random blond from the engagement party. She hated her so much that she turned her into Camilla and made the ultimate antagonist. She then took the real Camilla and turned her into a perfect, submissive out-of-the-movies girlfriend and used Rita Hayworth as an inspiration. She also paints the hit man as a very clumsy and incapable person to further justify the survival of Camilla. Her fantasy world, unfortunately for her, was a search for Diane which ended up being herself and made the dreamworld die by taking her through a series of reminders of reality. The first reminder was Club Silencio which chanted that ""there is no band"" and the ""instruments"" you hear are not really there; this is a metaphor for the fantasy. She begins to shake violently because it shakes her perception of her surroundings. The other reminder is the blue box... Actually, the blue box is not the reminder itself (more of a Pandora's Box, really), but the blue key that opens the box. The blue key reminds her of the actual death of Camilla because it is what the hit man said would show up when it was done. Along with having love, this entire creation of hers is an escape from reality by living in the idealized Hollywood that she expected to be part of when she arrived. This is a story showing the psychology of a very troubled woman who lost a dream. It is not series of random things specifically designed to disturb and it is not a cryptic philosophical message. It is an unfortunate chunk of the human condition that is presented beautifully.However, ultimately this is all my opinion. I may be way off. Or it may not be intended to mean any one thing. There are many who disagree with me. Great! Afterall, why does it have to mean anything? Why can't it just be a statement in itself? What if coherent, sensible narratives are shackles for artistic expression? Peter Greenaway, for example, has spent many words eloquently supporting that idea by such statements as ""I would argue that if you want to write narratives, be an author, be a novelist, don't be a film maker. Because I believe film making is so much more exciting in areas which aren't primarily to do with narrative."" And where is the written rule that everything must be immediately understandable with only one possible interpretation? There is no such rule because the clarity of the movie is unrelated to the art of it. ""I didn't understand it!"" So...? ""Mulholland Dr.,"" story or not, affects the viewers, harasses them, drags them, awes them, lulls them. The way it lends itself to interpretation is amazing. It never gets old. It never loses its luster. Its visuals are always effective and beautiful. It is cinematic perfection no matter what. Enjoy.",positive,en
"I first watched this film when I was a kid and is the only time in my life that I can remember putting my hands over my face and eyes in utter horror at one particular scene. I remembered it again with a disscusion with my uni friends and promptly bought it on video with plenty of hesitation I might add (to my surprise I only found it on the web in the States when it was made in England!) When I watched it again my reaction and to my surprise was almost the same, of sheer horror and fear and never has my heart been beating so much too. This is in my opinon the SCARIEST film ever made, Hollywood films seem tame in comparison and a bit Pony and Trap (crap), pardon the pun. What is amazing though is the power of this film and at uni when watching this with about twenty of my associates I have never heard so many screams, blokes as well! Even the sight of the video brings the fear of God into me of that one particular scene, and left me feeling that I will never walk alone again in the dark!!!!",positive,en
The service by nurul latifah is excellent.Beef and cod fish are excellent.Service is fast as well.Will come again,positive,en
"The truth behind great sushi lies in the freshness of the fish. In Vegas, where there's an all-you-can-eat sushi joint around every corner, you will find that most of them are fair at best. \n\nThen there are those places that have a well earned reputation that bring people in in droves - like Yama Sushi. The place is always busy, which means they go through a lot of fish - which means the fish is ALWAYS fresh. \n\nTheir all-you-can-eat special is one of the best meal deals in a town known for great meal deals. Don't forget to order the Seafood Salad - it's the perfect finisher.",positive,en
"My grand gran father was from palestine .I am from Mexico ,I love the course I learnt a lot and gave me a lot of information about my grandfather background and the place where he was from.Also I could learn more about other issues that I dont even knew they existed and clarify other topics.I am really thankful of this type of course that show us a lot of history and other aspects of other parts of the world and make us understand why ? thank you very much",positive,en
Maggie did a great job to have you hooked! which i was! i wont give out any spoilers but i must say i do recommend this book! the stories flowed easily and kept you wondering.,positive,en
"Four Stars
It looks good but not as shiny as I thought. Fits a little bug",positive,en
"I booked a room at the O Hotel off hotels.com, not knowing I booked the wrong date. When arriving at the hotel on 6/21, I realized this mistake...and did not have a room and a completely full capacity hotel. Chris D. at the front desk was the most compassionate and helpful employee I have ever encountered in my hotel stays (I travel 80% for my work). He sat me down, calmed me down, and began searching kayak to find me a place for the night. After looking, making numerous calls, out of some act of god a room was cancelled and I was able to stay at the hotel for the night. The hotel itself is very swank, hip, incredibly clean, up-to-date, and most importantly AFFORDABLE. There is a parking garage next door to the hotel, which is super convenient and only $12/night! There is an amazing bar/restaurant in house. My room was beyond comfortable, with great amenities (fridge, wireless, mini fridge, etc).
I would stay at this hotel EVERY WEEK if I had the choice. The great location also allowed me to walk of the hotel and down a short couple of blocks to grab dinner and drinks.
5 stars....great work O Hotel! I will recommend you to all friends, family, and co-workers!!!",positive,en
"Very nice ambience.Food is of superb quality. We ordered the beef burger and chicken chop, both are",positive,en
"Best day to come to watch movies. Cheap movie night. $6.00 what a deal at what movies cost regular days. \ncheap popcorn too, if you have a regal card you can get a small popcorn for $2.00 and you can earn rewards with that card on every purchase.\nI think they also have $2.00 hot dog or Nachos for the same price.\nNow days y I u have to find deals that offer you more for your money especially ent",positive,en
"My friend and I have just stayed in New York for 4 days at the end of a 10 day stint in Boston.
I only half heartedly read Trip Advisor comments usually because you never know who writes them and, having met lots of pretentious people on my travels, you quickly realise that some folks want champagne service for lemonade prices!
Anyway, we booked up because it looked like a good deal, and it was. The rooms were sensibly priced (given the location and standard of accomodation). Then Hurricane Sandy hit.
Yes we lost the power to our room, and yes, the water supply went too. The service lift was kept working via a generator (as mentioned by the previous chump!) and the staff did as best they could.
Yes there was no hot food available, and yes the bar wasn't open. The city was in a state of emergency for God's sake - what do people expect! The loss of power was not the hotels fault as the power company switched off the transformers up to 39th Street to prevent further damage, which is unfortunately where the St Giles was.
The staff were amazing and our heart goes out to them because some of them were unable to get home themselves - they stayed working at the hotel for 3 days straight. Spare a thought for them eh!
Although all the members of the St Giles team were great, I have to say a particular thanks to Danny. He helped my friend with our luggage to the hire car place.
Nothing special I hear you say? On the contrary .... he bought it down three blocks through the worst traffic I've seen outside China and Bangkok!! We can;t thank you enough for that mate. You are a legend. Simple as that.
The fact is that a lot of New York (a couple of days later) was operating as normal, but like many people, the St Giles was a victim of the storm. It was a natural disaster and a state of emergency was declared. If people fail to appreciate this and have the gall to moan that the lifts were out, they really need to get their heads from up their own arses I think - the hotel is great and we'll definitely go back.
I'll leave you with an old persian proverb - think about it eh!
""I once wept as I had no shoes .... until I saw a man without feet"".",positive,en
Quick and easy to use.,positive,en
"Hey put some Windex on it! \n\nTo start, the ambience and decor at Nick's are second-to-none if you're interested in a flashback to the days of the rat pack. Let's just say that if Dean Martin and Frank Sinatra hopped in a time machine and came to present day Madison, this is where you'd find them. \n\nI had the fish sandwich with fries; both were great. For me fries can make-or-break a spot, and Nick's fries definitely made the cut. \n\nIt's just a really cool atmosphere and a really cool restaurant. The fact they don't really have a kitchen, opting instead for a flat-top grill out in the open, just adds to the overall experience. \n\nRealistically, I'd give the place a 6/5 if I could.",positive,en
"Overall works good. Wish the phone was held a bit tighter ...
Overall works good. Wish the phone was held a bit tighter on the sides, but the elastic bands do the trick. Overall a good item.",positive,en
We stayed here with the family and booked two rooms begin of October for three nights. Good rooms definetly worth the money. Location is good if you want to visit Universal Studios or northern parts of L.A. Staff was always friendly and very helpfull. Will definetly recommand this for short term stay to visit the northern parts of L.A.,positive,en
"este hotel em manhattan é bem localizado, proximo ao central park, 5a. avenida, da times square e a 20 minutos de caminhada do empire states. O metro passa em frente ao hotel. Quartos e banheiro razoáveis. O hotel é velho e necessita de uma reforma. A internet e café da manhã são pagos. Fizemos a reserva em quarto triplo e quando chegamos não tinha disponível e formos ressarcidos com o café da manhã e internet. Não possui restaurante próprio e o café da manhã é sevido na lanchonete anexa ao hotel. Não tenho do que reclamar, mas da próxima vez tentaria outro mais próximo a times square que é do empire states.",positive,en
"This is a brilliant sci-fi movie that is very strange in how men and women both view the same film. I have talked to many people about the film and almost every guy loved it and said it was brilliant--while most women thought it was just disgusting and stupid! This is the only movie I know of that has such polarized views based on gender. Perhaps many women just have a lower tolerance for disgusting or depressing plots--but whatever the cause, I have always found this difference fascinating.The film begins with a murder and a subsequent investigation headed by Charlton Heston. This is set in the near future and the head of the huge international Soylent Corporation has been assassinated. As the film unfolds, you quickly realize this is a terrible and highly inequitable future American society. The rich live in gorgeous apartments with security and all the pleasures money can buy(including ""furniture""--a euphemism for paid mistresses that come along with the apartment). At the same time, the masses are dirt poor, unemployed and in many cases living in abandoned cars or apartment hallways. Overpopulation and smog have taken a severe toll and the future looks awful indeed! Why the rich man died and the awful truth he could not live with I really should NOT discuss--it could ruin the film for you. However, the film has a great plot and acting and is super-exciting to watch. Plus, it features Edward G. Robinson in his final screen performance as the crusty sidekick to Heston. Though not for the easily depressed or squeamish, this is a great sci-fi film that is allegorical and profound.",positive,en
This is the best Vape shop I have ever been to!!!! The most amazing customer service. The best vape flavors and plenty to choose from. If you want a great smoke shop to buy your vape then this the place!!!!!!,positive,en
"We'd always heard how good Singapore Airlines is, and it appears to be true. Let's get the negative out of the way: check-in. It may be that U.S. regs prevent them from using online check-in, but that doesn't excuse the hour-long wait in line to check in. Or the chaos of boarding. But once on board, wow. The food is what passengers dream of. Two full meals on our 8.5 hour international flight. And the flight attendants -- they seem to hire only people who want to help. Smiling, eager to make the experience positive. Such a change from our flight over on United. We'd love to fly Singapore again.",positive,en
The hotel has large rooms which are nicely furnished and decorated. The rooms and the hotel itself offer any amenities one needs. In different places around the world Hilton offers the same at better prices but here you also pay for the location: You are right at Times Square; one step out and Manhatten is right in front of you. Really great. If I return to New York I will probably stay at this hotel again.,positive,en
i have my hard house dance music playing full blast hahaha yeah well tough lol cos its middle of day and its good music for making you feel lively and happy,positive,en
"Four Stars
Great shoe but definitely order at least a half size up!!",positive,en
Its was very pleasing and satisfying place to eat but is was little bit expensive.,positive,en
good blace you,positive,en
"This hotel positions itself as being premier, so I think they hurt themselves by setting false expectations of grandeur. It is charming and is in a convenient location, but I don't know if that makes it worth the money for me. Firstly, we were told that there was only valet parking available, and then the attendant acted as though it was a huge inconvenience to park the car. He suggested that we find street parking, and when we declined he was visibly perturbed. We got to the room and the decor was lovely, but the AC did not cool the room. I understand that it is a historic building, but for $130/night they could seriously invest in some more fans or something. By the end of the night, I was rubbing cool washcloths on my forehead to beat the heat. In Hotel Lombardy's defense, I did not complain about the heat so I can't say whether they would have offered something or not. It was a nice experience, but I will definitely try somewhere different on my next trip to DC.",positive,en
Prime rib was delicious. Very tender and tasteful. Huge portion.,positive,en
i could leave westminster feeling like the trip had been worthwhile,positive,en
"OMG! Everything was so good. The fresh fish. How it was the made. The buzzing endless motion of waiters. The helpful insight of our fish specialist (who took our order, helped us pick out which fish suits our liking). The Lokomedes was heaven! Excellent coffee. We had: the sardines, beet salad, broiled snapper, broiled Branzino, mojoitos, Lokomedes, another greek dessert that I can't remember. Paid about $500! But worth every dime. Best memorable meal yet!",positive,en
Just what we need all our favorite song in one app,positive,en
The purpose of this action is to ensure company's cost effectiveness this year and in the near future.,positive,en
"I did A LOT of research before going on my first trip to San Fran and I wanted to make sure that I picked a hotel with a great location, a clean room and great value. This hotel had all of those things and more. If you are like me, indecisive and picky... Look no more. This hotel is for you. Rooms are not too small, Bathrooms have great showers and bed is super comfortable. Sure, the breakfast isn't too great but I mean if youre into muffins and bagels, you're set. Wireless also gets a little slower at night but no big deal. Great French restaurant and Irish bar right next door. Overall: amazing!!!",positive,en
i feel clever when i do math at least its something i can do and im good at ahaha everyone needs a boost of the ego sometimes but yes two hours of classes today,positive,en
i feel your presence at the heart of my desire and so know it for your desire for me help me to find my happiness in my acceptance of what is your purpose for me in friendly eyes in work well done in quietness born of trust and most of all in the awareness of your presence in my spirit,positive,en
"We booked this hotel because it was close to the start/finish location of the Monumental Marathon race. This hotel has a great location and is close to the stadium, convention center and other restaurants/bars. All are within easy walking distance. The hotel is easy to get to and it was nice and clean throughout. The staff at this hotel were all friendly and helpful. We never had a bad experience and, in fact, any of the staff we encountered at the local establishments in Indy were all like this. We thouroughly enjoyed our stay in Indy and would love to come back again.",positive,en
i was bustin loose in the meantime and bustin loose made me feel fine,positive,en
"There are mixed reviews about this hotel, and I think it has to do with your expectation going in.
This hotel is fine for an overnight trip to the Inner Harbor. My husband and I stayed there, it is in a safe neighborhood, and there were always people walking to and from the Inner Harbor. If you feel unsafe in this neighborhood, you probably feel unsafe in any city.
The hotel staff was very caring. We stayed in the South Tower, which has been renovated. Again, the rooms are based on your expectations. If you are hoping for a luxe, spa-like room with lots of space, this is probably not your hotel. If you want a clean, decent space, it's great. I would probably be upset if I paid more than $100 a night for the hotel, but I didn't. I got the room on priceline.com.
We went to the pool. It was about 80 degrees outside. The pool was not heated. Water was a little too cold to enjoy. Yet we loved the ambiance of the pool, which makes you feel like you are in an urban oasis. It also had a grill and some great furniture.
We ate breakfast at the restaurant in the hotel. Not recommended.
Overall, it was a great place for a quick overnight trip. If you want a suite-like room, you probably need to find another place. We found it perfect for our needs, but we rarely spend a lot of time in our room when vacationing.",positive,en
"User friendly, good 👍",positive,en
"Fits iPhone 6 plus in otter box
Finally I found an armband that fits my phone while the otter box case is on but... I have really thin arms and this product fit my arm but took up literally my whole arm. Granted that's probably my bad for being a petite lady and owning an iPhone plus phone lol...",positive,en
Fine dining experience with variety of dishes but very expensive according to the quantity.Ambiance 4/5,positive,en
i feel strangely free now,positive,en
It's an amazing app 💖,positive,en
"This is the best place for subs! The ingredients are always fresh and the portions are great. I've had a variety of subs and have never been disappointed! The staff is super friendly and fast. Great atmosphere, great people, great food. Definitely a win.",positive,en
I think the title resume everything. Don't expect to go there as a 4stars hotel. The services is very the minimum you can expect. The room is very small and the A/C wasn't working so the room was like a spa. I needed to sleep with open windows. Could be a great 2-3stars hotel but definitely not a 4stars.,positive,en
i feel that way towards some people as well,positive,en
Goods arrived 3 days before the due date which gave me time to finish my build.,positive,en
"I have to tell you that this book is great! It is a fun, sexy, and hot read with well developed characters and an ending the leaves you wanting to hear more. Marc has always been a no strings attached guy, and Jodi has a history of men hurting her emotionally. It takes a very special birthday surprise for Jodi with Marc's old college buddy Sam to make these two realize they don't want to loose what they have with one another. A night of scorching hot fun and fantasies ends up being so much more for both Jodi and Marc!",positive,en
